Confusable,Canonical Character
"'","'"
"ʼ","'"
"ˈ","'"
"՚","'"
"’","'"
"'L","'L"
"'M","'M"
"'N","'N"
"'W","'W"
"'Y","'Y"
"'l","'l"
"'m","'m"
"'n","'n"
"'w","'w"
"'y","'y"
"'Ẅ","'Ẅ"
"'ẅ","'ẅ"
"A","A"
"Aa","Aa"
"A_","A̱"
"A̠","A̱"
"A̱","A̱"
"A̲","A̱"
"B","B"
"Ch","Ch"
"D","D"
"Dz","Dz"
"E","E"
"Ee","Ee"
"G","G"
"Gw","Gw"
"Gy","Gy"
"G_","G̱"
"G̠","G̱"
"G̱","G̱"
"G̲","G̱"
"Ǥ","G̱"
"H","H"
"I","I"
"Ii","Ii"
"K","K"
"K'","K'"
"Kʼ","K'"
"Kˈ","K'"
"K̒","K'"
"K̓","K'"
"K̔","K'"
"K̕","K'"
"K՚","K'"
"K’","K'"
"K＇","K'"
"Ќ","K'"
"Kw","Kw"
"Kw'","Kw'"
"Kwʼ","Kw'"
"Kwˈ","Kw'"
"Kw̒","Kw'"
"Kw̓","Kw'"
"Kw̔","Kw'"
"Kw̕","Kw'"
"Kw՚","Kw'"
"Kw’","Kw'"
"Kw＇","Kw'"
"Ky","Ky"
"Ky'","Ky'"
"L","L"
"M","M"
"N","N"
"O","O"
"Oo","Oo"
"P","P"
"P'","P'"
"Pʼ","P'"
"Pˈ","P'"
"P̒","P'"
"P̓","P'"
"P̔","P'"
"P̕","P'"
"P՚","P'"
"P’","P'"
"P＇","P'"
"S","S"
"T","T"
"T'","T'"
"Tʼ","T'"
"Tˈ","T'"
"T̒","T'"
"T̓","T'"
"T̔","T'"
"T̕","T'"
"T՚","T'"
"T’","T'"
"T＇","T'"
"Ts","Ts"
"Ts'","Ts'"
"Tsʼ","Ts'"
"Tsˈ","Ts'"
"Ts̒","Ts'"
"Ts̓","Ts'"
"Ts̔","Ts'"
"Ts̕","Ts'"
"Ts՚","Ts'"
"Ts’","Ts'"
"Ts＇","Ts'"
"U","U"
"Uu","Uu"
"W","W"
"X","X"
"Xw","Xw"
"Xy","Xy"
"X_","X̱"
"X̠","X̱"
"X̱","X̱"
"X̲","X̱"
"X̱w","X̱w"
"Y","Y"
"a","a"
"aa","aa"
"a_","a̱"
"a̠","a̱"
"a̱","a̱"
"a̲","a̱"
"b","b"
"ch","ch"
"d","d"
"dz","dz"
"ʣ","dz"
"e","e"
"ee","ee"
"g","g"
"gw","gw"
"gy","gy"
"g_","g̱"
"g̠","g̱"
"g̱","g̱"
"g̲","g̱"
"ǥ","g̱"
"h","h"
"i","i"
"ii","ii"
"k","k"
"k'","k'"
"kʼ","k'"
"kˈ","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k՚","k'"
"k’","k'"
"k＇","k'"
"kw","kw"
"kw'","kw'"
"kwʼ","kw'"
"kwˈ","kw'"
"kw̒","kw'"
"kw̓","kw'"
"kw̔","kw'"
"kw̕","kw'"
"kw՚","kw'"
"kw’","kw'"
"kw＇","kw'"
"ky","ky"
"ky'","ky'"
"l","l"
"m","m"
"n","n"
"o","o"
"oo","oo"
"p","p"
"p'","p'"
"pʼ","p'"
"pˈ","p'"
"p̍","p'"
"p̒","p'"
"p̓","p'"
"p̔","p'"
"p̕","p'"
"p՚","p'"
"p’","p'"
"p＇","p'"
"s","s"
"t","t"
"t'","t'"
"tʼ","t'"
"tˈ","t'"
"t̒","t'"
"t̓","t'"
"t̔","t'"
"t̕","t'"
"t՚","t'"
"t’","t'"
"t＇","t'"
"ts","ts"
"ʦ","ts"
"ts'","ts'"
"tsʼ","ts'"
"tsˈ","ts'"
"ts̒","ts'"
"ts̓","ts'"
"ts̔","ts'"
"ts̕","ts'"
"ts՚","ts'"
"ts’","ts'"
"ts＇","ts'"
"u","u"
"uu","uu"
"w","w"
"x","x"
"xw","xw"
"xy","xy"
"x_","x̱"
"x̠","x̱"
"x̱","x̱"
"x̲","x̱"
"x̱w","x̱w"
"y","y"
"Ü","Ü"
"Üü","Üü"
"ü","ü"
"üü","üü"
"L̷","Ł"
"L̸","Ł"
"Ł","Ł"
"l̷","ł"
"l̸","ł"
"ł","ł"
"ɫ","ł"
"K_","Ḵ"
"K̠","Ḵ"
"K̲","Ḵ"
"Ḵ","Ḵ"
"K̲ʼ","Ḵ'"
"K̲ˈ","Ḵ'"
"K̲̒","Ḵ'"
"K̲̓","Ḵ'"
"K̲̔","Ḵ'"
"K̲̕","Ḵ'"
"K̲՚","Ḵ'"
"K̲’","Ḵ'"
"K̲＇","Ḵ'"
"Ќ̱","Ḵ'"
"Ќ̲","Ḵ'"
"Ḵ'","Ḵ'"
"Ḵʼ","Ḵ'"
"Ḵˈ","Ḵ'"
"Ḵ̒","Ḵ'"
"Ḵ̓","Ḵ'"
"Ḵ̔","Ḵ'"
"Ḵ̕","Ḵ'"
"Ḵ՚","Ḵ'"
"Ḵ’","Ḵ'"
"Ḵ＇","Ḵ'"
"k_","ḵ"
"k̠","ḵ"
"k̲","ḵ"
"ḵ","ḵ"
"k_ʼ","ḵ'"
"k_՚","ḵ'"
"k_’","ḵ'"
"k̠ʼ","ḵ'"
"k̠՚","ḵ'"
"k̠’","ḵ'"
"k̲ʼ","ḵ'"
"k̲՚","ḵ'"
"k̲’","ḵ'"
"ḵ'","ḵ'"
"ḵʼ","ḵ'"
"ḵˈ","ḵ'"
"ḵ̒","ḵ'"
"ḵ̓","ḵ'"
"ḵ̔","ḵ'"
"ḵ̕","ḵ'"
"ḵ՚","ḵ'"
"ḵ’","ḵ'"
"ḵ＇","ḵ'"
"Ẅ","Ẅ"
"ẅ","ẅ"
