Confusable,Canonical Character
"kʼ","k̕"
"k̍","k̕"
"k̒","k̕"
"k̓","k̕"
"k̔","k̕"
"k’","k̕"
"k՚","k̕"
"k'","k̕"
"tsˈ","ts̕"
"ts̓","ts̕"
"ts̒","ts̕"
"ts̔","ts̕"
"tsʼ","ts̕"
"ts’","ts̕"
"ts՚","ts̕"
"ts'","ts̕"
"chˈ","ch̕"
"ch̓","ch̕"
"ch̒","ch̕"
"ch̔","ch̕"
"chʼ","ch̕"
"ch’","ch̕"
"ch՚","ch̕"
"ch'","ch̕"
"p̒","p̕"
"p̓","p̕"
"p̔","p̕"
"p̍","p̕"
"p’","p̕"
"p'","p̕"
"tlˈ","tl̕"
"tl̓","tl̕"
"tl̒","tl̕"
"tl̔","tl̕"
"tlʼ","tl̕"
"tl’","tl̕"
"tl՚","tl̕"
"tl'","tl̕"
"ḵwˈ","ḵw̕"
"ḵw̓","ḵw̕"
"ḵw̒","ḵw̕"
"ḵw̔","ḵw̕"
"ḵwʼ","ḵw̕"
"ḵw’","ḵw̕"
"k̠w̓","ḵw̕"
"k̠w̒","ḵw̕"
"k̠w̔","ḵw̕"
"k̠wʼ","ḵw̕"
"k̠w’","ḵw̕"
"k̠w՚","ḵw̕"
"ḵw'","ḵw̕"
"k̲","ḵ"
"k̠","ḵ"
"k_","ḵ"
"t̔","t̕"
"t’","t̕"
"t՚","t̕"
"tʼ","t̕"
"t̍","t̕"
"t̒","t̕"
"t̓","t̕"
"t'","t̕"
"x_","x̱"
"x̠","x̱"
"x̲","x̱"
"x̲w","x̱w"
"x̠w","x̱w"
"x_w","x̱w"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"k̲̕","ḵ̕"
"k̠̕","ḵ̕"
"k_̕","ḵ̕"
"ḵ’","ḵ̕"
"ḵ'","ḵ̕"
"kwˈ","kw̕"
"kw̓","kw̕"
"kw̒","kw̕"
"kw̔","kw̕"
"kwʼ","kw̕"
"kw’","kw̕"
"kw՚","kw̕"
"kw'","kw̕"
