Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","a̱",""
"3","aa",""
"4","a̱a̱",""
"5","aˈa",""
"6","a̱ˈa̱",""
"7","aw",""
"8","aaw",""
"9","ay",""
"10","aay",""
"11","b",""
"12","d",""
"13","ʣ",""
"14","e",""
"15","ee",""
"16","eˈe",""
"17","g",""
"18","gw",""
"19","gy",""
"20","ǥ",""
"21","h",""
"22","i",""
"23","ii",""
"24","iˈi",""
"25","k",""
"26","kˈ",""
"27","kw",""
"28","kˈw",""
"29","ky",""
"30","kˈy",""
"31","ḵ",""
"32","ḵˈ",""
"33","l",""
"34","ˈl",""
"35","ł",""
"36","m",""
"37","ˈm",""
"38","n",""
"39","ˈn",""
"40","o",""
"41","oo",""
"42","oˈo",""
"43","oy",""
"44","ooy",""
"45","p",""
"46","pˈ",""
"47","s",""
"48","t",""
"49","tˈ",""
"50","ts",""
"51","tsˈ",""
"52","u",""
"53","uu",""
"54","uˈu",""
"55","ü",""
"56","üü",""
"57","üˈü",""
"58","w",""
"59","ˈw",""
"60","ẅ",""
"61","ˈẅ",""
"62","x",""
"63","y",""
"64","ˈy",""
"65","ˈ",""
