Confusable,Canonical Character
"dz","ʣ"
"̕ẅ","ˈẅ"
"̔ẅ","ˈẅ"
"̒ẅ","ˈẅ"
"’ẅ","ˈẅ"
"ʼẅ","ˈẅ"
"՚ẅ","ˈẅ"
"ts̒","tsˈ"
"ts̔","tsˈ"
"ts̓","tsˈ"
"ts̕","tsˈ"
"ts՚","tsˈ"
"ts’","tsˈ"
"tsʼ","tsˈ"
"k_̕","ḵˈ"
"ḵ'","ḵˈ"
"k̲＇","ḵˈ"
"k_’","ḵˈ"
"k̠ʼ","ḵˈ"
"k̲̓","ḵˈ"
"k̲̕","ḵˈ"
"k̲’","ḵˈ"
"k̠＇","ḵˈ"
"k̲՚","ḵˈ"
"ḵʼ","ḵˈ"
"k̠̓","ḵˈ"
"k̠̕","ḵˈ"
"ḵ＇","ḵˈ"
"k̠՚","ḵˈ"
"k̠’","ḵˈ"
"k_ʼ","ḵˈ"
"ḵ̓","ḵˈ"
"ḵ̕","ḵˈ"
"ḵ’","ḵˈ"
"k̠'","ḵˈ"
"k̲ʼ","ḵˈ"
"ḵ՚","ḵˈ"
"k̲'","ḵˈ"
"k_̓","ḵˈ"
"ü'ü","üˈü"
"ü＇ü","üˈü"
"üʼü","üˈü"
"ü՚ü","üˈü"
"e՚e","eˈe"
"e̕e","eˈe"
"e’e","eˈe"
"eʼe","eˈe"
"o’o","oˈo"
"oʼo","oˈo"
"o'o","oˈo"
"o՚o","oˈo"
"o＇o","oˈo"
"o̕o","oˈo"
"t̔","tˈ"
"t̕","tˈ"
"t＇","tˈ"
"t'","tˈ"
"t՚","tˈ"
"tʼ","tˈ"
"t̒","tˈ"
"t̓","tˈ"
"̒","ˈ"
"̓ ̕","ˈ"
"̔","ˈ"
"’","ˈ"
"՚","ˈ"
"ʼ","ˈ"
"a̲","a̱"
"a_","a̱"
"a̠","a̱"
"p̒","pˈ"
"p̓","pˈ"
"p̔","pˈ"
"p̕","pˈ"
"p'","pˈ"
"p’","pˈ"
"p̍","pˈ"
"kʼw","kˈw"
"k՚w","kˈw"
"k̕w","kˈw"
"k’w","kˈw"
"’y","ˈy"
"̕y","ˈy"
"̔y","ˈy"
"̒y","ˈy"
"ʼy","ˈy"
"՚y","ˈy"
"l̸","ł"
"l̷","ł"
"k՚y","kˈy"
"kʼy","kˈy"
"k̕y","kˈy"
"k’y","kˈy"
"ʼn","ˈn"
"՚n","ˈn"
"’n","ˈn"
"̕n","ˈn"
"̔n","ˈn"
"̒n","ˈn"
"ʼm","ˈm"
"՚m","ˈm"
"’m","ˈm"
"̕m","ˈm"
"̔m","ˈm"
"̒m","ˈm"
"kʼ","kˈ"
"k̓","kˈ"
"k̕","kˈ"
"k'","kˈ"
"k＇","kˈ"
"k’","kˈ"
"k՚","kˈ"
"k̲","ḵ"
"k̠","ḵ"
"k_","ḵ"
"aʼa","aˈa"
"a՚a","aˈa"
"a'a","aˈa"
"a＇a","aˈa"
"a̕a","aˈa"
"a̱＇a̱","a̱ˈa̱"
"a_ˈa_","a̱ˈa̱"
"a̱՚a̱","a̱ˈa̱"
"a̲՚a̲","a̱ˈa̱"
"a̠ˈa̠","a̱ˈa̱"
"a̱ʼa̱","a̱ˈa̱"
"a̱'a̱","a̱ˈa̱"
"a̲ˈa̲","a̱ˈa̱"
"u'u","uˈu"
"u՚u","uˈu"
"u＇u","uˈu"
"u̕u","uˈu"
"uʼu","uˈu"
"a_a_","a̱a̱"
"a̠a̠","a̱a̱"
"a̲a̲","a̱a̱"
"ʼl","ˈl"
"’l","ˈl"
"՚l","ˈl"
"̕l","ˈl"
"̔l","ˈl"
"̒l","ˈl"
"̕w","ˈw"
"̔w","ˈw"
"̒w","ˈw"
"ʼw","ˈw"
"’w","ˈw"
"՚w","ˈw"
"iʼi","iˈi"
"i՚i","iˈi"
"i̕i","iˈi"
"i’i","iˈi"
