Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"3","aa",""
"4","a̱",""
"5","b",""
"7","d",""
"8","dz",""
"9","e",""
"11","ee",""
"13","g",""
"14","gw",""
"15","gy",""
"16","g̱",""
"17","h",""
"18","i",""
"19","ii",""
"20","k",""
"21","k'",""
"22","kw",""
"23","ky",""
"24","k'w",""
"25","k'y",""
"26","ḵ",""
"27","ḵ'",""
"28","l",""
"29","'l",""
"30","ł",""
"31","m",""
"32","'m",""
"33","n",""
"34","'n",""
"35","o",""
"37","oo",""
"38","p",""
"39","p'",""
"40","s",""
"41","t",""
"42","t'",""
"43","ts",""
"44","ts'",""
"45","u",""
"46","uu",""
"47","üü",""
"48","w",""
"49","'w",""
"50","ẅ",""
"51","'ẅ",""
"52","x",""
"53","y",""
"54","'y",""
"55","'",""
