Confusable,Canonical Character
"＇n","'n"
"’n","'n"
"ʼn","'n"
"ˈn","'n"
"՚n","'n"
"ts＇","ts'"
"ts’","ts'"
"ts̓","ts'"
"ts̕","ts'"
"ts̒","ts'"
"ts̔","ts'"
"tsʼ","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"＇l","'l"
"’l","'l"
"ʼl","'l"
"ˈl","'l"
"՚l","'l"
"a_","a̱"
"a̲","a̱"
"a̠","a̱"
"k̲","ḵ"
"k̠","ḵ"
"k_","ḵ"
"’","'"
"ʼ","'"
"ˈ","'"
"̕","'"
"＇","'"
"՚","'"
"＇y","'y"
"’y","'y"
"ʼy","'y"
"ˈy","'y"
"՚y","'y"
"k＇y","k'y"
"k’y","k'y"
"kʼy","k'y"
"kˈy","k'y"
"k՚y","k'y"
"p̒","p'"
"p̔","p'"
"p̓","p'"
"p̕","p'"
"p̍","p'"
"p＇","p'"
"p’","p'"
"p՚","p'"
"pʼ","p'"
"＇ẅ","'ẅ"
"’ẅ","'ẅ"
"̓ẅ","'ẅ"
"̕ẅ","'ẅ"
"̒ẅ","'ẅ"
"̔ẅ","'ẅ"
"ʼẅ","'ẅ"
"ˈẅ","'ẅ"
"՚ẅ","'ẅ"
"k＇w","k'w"
"k’w","k'w"
"k̕w","k'w"
"kʼw","k'w"
"kˈw","k'w"
"k՚w","k'w"
"＇w","'w"
"’w","'w"
"ʼw","'w"
"ˈw","'w"
"՚w","'w"
"l̸","ł"
"l̷","ł"
"ɫ","ł"
"ḵ＇","ḵ'"
"ḵ’","ḵ'"
"ḵ̓","ḵ'"
"ḵ̕","ḵ'"
"ḵ̒","ḵ'"
"ḵ̔","ḵ'"
"ḵʼ","ḵ'"
"ḵˈ","ḵ'"
"k̠՚","ḵ'"
"ḵ՚","ḵ'"
"k_’","ḵ'"
"k̠ʼ","ḵ'"
"k_՚","ḵ'"
"k̲’","ḵ'"
"k̲՚","ḵ'"
"k̠’","ḵ'"
"k_ʼ","ḵ'"
"k̲ʼ","ḵ'"
"t＇","t'"
"t’","t'"
"t̓","t'"
"t̕","t'"
"t̒","t'"
"t̔","t'"
"tʼ","t'"
"tˈ","t'"
"t՚","t'"
"＇m","'m"
"’m","'m"
"ʼm","'m"
"ˈm","'m"
"՚m","'m"
"g̲","g̱"
"g̠","g̱"
"g_","g̱"
"k＇","k'"
"k’","k'"
"k̓","k'"
"k̕","k'"
"k̒","k'"
"k̔","k'"
"kʼ","k'"
"kˈ","k'"
"k՚","k'"
"A_","A̱"
"A̲","A̱"
"A̠","A̱"
"K_","Ḵ"
"K̲","Ḵ"
"K̠","Ḵ"
"Ḵ̓","Ḵ'"
"Ḵ̒","Ḵ'"
"Ḵ̔","Ḵ'"
"Ḵ̕","Ḵ'"
"G_","G̱"
"G̲","G̱"
"G̠","G̱"
"K̓","K'"
"K̕","K'"
"K̒","K'"
"K̔","K'"
"Kʼ","K'"
