Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","aa",""
"3","ch",""
"4","ch'",""
"5","e",""
"6","ee",""
"7","h",""
"8","hw",""
"9","i",""
"10","ii",""
"11","k",""
"12","kw",""
"13","kw'",""
"14","l",""
"15","lh",""
"16","m",""
"17","n",""
"18","o",""
"19","oo",""
"20","ou",""
"21","p",""
"22","p'",""
"23","q",""
"24","q'",""
"25","qw",""
"26","qw'",""
"27","s",""
"28","sh",""
"29","t",""
"30","t'",""
"31","th",""
"32","tl'",""
"33","ts",""
"34","ts'",""
"35","tth",""
"36","tth'",""
"37","u",""
"38","w",""
"39","x",""
"40","x̌",""
"41","xw",""
"42","xw'",""
"43","y",""
"44","'",""
