Confusable,Canonical Character
"xwˈ","xw'"
"xw̓","xw'"
"xw̒","xw'"
"xw̔","xw'"
"xwʼ","xw'"
"xw’","xw'"
"xw՚","xw'"
"xw̕","xw'"
"p̒","p'"
"p̓","p'"
"p̔","p'"
"p̕","p'"
"p＇","p'"
"p’","p'"
"p՚","p'"
"pʼ","p'"
"p̍","p'"
"pˈ","p'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t’","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"tth̓","tth'"
"tth̕","tth'"
"tth̒","tth'"
"tth̔","tth'"
"tthʼ","tth'"
"tthˈ","tth'"
"tth՚","tth'"
"tth＇","tth'"
"tth’","tth'"
"tl’","tl'"
"tlˈ","tl'"
"tl՚","tl'"
"tlʼ","tl'"
"tl̓","tl'"
"tl̒","tl'"
"tl̕","tl'"
"tl＇","tl'"
"tl̔","tl'"
"kwʼ","kw'"
"kw̓","kw'"
"kw̒","kw'"
"kw̕","kw'"
"kw＇","kw'"
"kw̔","kw'"
"kw’","kw'"
"kwˈ","kw'"
"kw՚","kw'"
"q＇","q'"
"q’","q'"
"q՚","q'"
"qʼ","q'"
"qw’","qw'"
"qw＇","qw'"
"qw՚","qw'"
"qwʼ","qw'"
"ch＇","ch'"
"ch՚","ch'"
"ch’","ch'"
"chʼ","ch'"
"ʦ","ts"
"’","'"
"＇","'"
"ˈ","'"
"՚","'"
"ʼ","'"
