Base Character,Variant
"ch","Ch"
"chʼ","Chʼ"
"d","D"
"ddh","Ddh"
"dh","Dh"
"dl","Dl"
"dz","Dz"
"g","G"
"gh","Gh"
"ghw","Ghw"
"gw","Gw"
"h","H"
"j","J"
"k","K"
"kh","Kh"
"khw","Khw"
"kw","Kw"
"kʼ","Kʼ"
"kʼw","Kʼw"
"l","L"
"ł","Ł"
"m","M"
"mb","Mb"
"n","N"
"nd","Nd"
"nj","Nj"
"r","R"
"s","S"
"sh","Sh"
"t","T"
"tʼ","Tʼ"
"th","Th"
"tl","Tl"
"tth","Tth"
"tthʼ","Tthʼ"
"ts","Ts"
"tsʼ","Tsʼ"
"tlʼ","Tlʼ"
"y","Y"
"w","W"
"z","Z"
"zh","Zh"
"a","A"
"ä","Ä"
"à","À"
"ā","Ā"
"á","Á"
"ą","Ą"
"ą̈","Ą̈"
"ą̀","Ą̀"
"ą̄","Ą̄"
"ą́","Ą́"
"ą̈w","Ą̈w"
"ąw","Ąw"
"ąy","Ąy"
"äy","Äy"
"ą̈y","Ą̈y"
"e","E"
"è","È"
"i","I"
"o","O"
"u","U"
"ü","Ü"
"ų̈","Ų̈"
"ē","Ē"
"ī","Ī"
"ō","Ō"
"ū","Ū"
"é","É"
"í","Í"
"ó","Ó"
"ú","Ú"
"ę","Ę"
"į","Į"
"ǫ","Ǫ"
"ų","Ų"
"â","Â"
"ê","Ê"
"î","Î"
"ô","Ô"
"û","Û"
"ǎ","Ǎ"
"ě","Ě"
"ǐ","Ǐ"
"ǒ","Ǒ"
"ǔ","Ǔ"
"ā́","Ā́"
"ḗ","Ḗ"
"ī́","Ī́"
"ṓ","Ṓ"
"ū́","Ū́"
