Confusable,Canonical Character
"o̅","ō"
"o︤","ō"
"o︥","ō"
"o¯","ō"
"o‾","ō"
"tth̓","tthʼ"
"tth̕","tthʼ"
"tth̒","tthʼ"
"tth̔","tthʼ"
"tth’","tthʼ"
"tthˈ","tthʼ"
"tth՚","tthʼ"
"tth＇","tthʼ"
"tth'","tthʼ"
"a̅́","ā́"
"a︤́","ā́"
"a︥́","ā́"
"l̸","ł"
"l̷","ł"
"a̅","ā"
"a︤","ā"
"a︥","ā"
"a¯","ā"
"a‾","ā"
"i̅́","ī́"
"i︤́","ī́"
"i︥́","ī́"
"ʦ","ts"
"̒","ʼ"
"̓","ʼ"
"̔","ʼ"
"̕","ʼ"
"ˈ","ʼ"
"’","ʼ"
"՚","ʼ"
"'","ʼ"
"k̓","kʼ"
"k̕","kʼ"
"k'","kʼ"
"kˈ","kʼ"
"k＇","kʼ"
"k’","kʼ"
"k՚","kʼ"
"ą︥","ą̄"
"ą̅","ą̄"
"ą︤","ą̄"
"e̅","ē"
"e︤","ē"
"e︥","ē"
"e¯","ē"
"e‾","ē"
"tl’","tlʼ"
"tlˈ","tlʼ"
"tl՚","tlʼ"
"tl̓","tlʼ"
"tl̒","tlʼ"
"tl̕","tlʼ"
"tl＇","tlʼ"
"tl̔","tlʼ"
"tl'","tlʼ"
"i̅","ī"
"i︤","ī"
"i︥","ī"
"i¯","ī"
"i‾","ī"
"ts̒","tsʼ"
"ts̔","tsʼ"
"ts̓","tsʼ"
"ts̕","tsʼ"
"tsˈ","tsʼ"
"ts՚","tsʼ"
"ts’","tsʼ"
"u̅","ū"
"u︤","ū"
"u︥","ū"
"u¯","ū"
"u‾","ū"
"é̄","ḗ"
"é̅","ḗ"
"é︤","ḗ"
"é︥","ḗ"
"é¯","ḗ"
"é‾","ḗ"
"e̅́","ḗ"
"e︤́","ḗ"
"e︥́","ḗ"
"e¯́","ḗ"
"e‾́","ḗ"
"ch̕","chʼ"
"chˈ","chʼ"
"ch՚","chʼ"
"ch’","chʼ"
"ch̒","chʼ"
"ch̔","chʼ"
"ch̓","chʼ"
"ʣ","dz"
"ó̄","ṓ"
"ó̅","ṓ"
"ó︤","ṓ"
"ó︥","ṓ"
"ó¯","ṓ"
"ó‾ṓ","ṓ"
"o̅́","ṓ"
"o︤́","ṓ"
"o︥́","ṓ"
"o¯́","ṓ"
"o‾́","ṓ"
"t̔","tʼ"
"t̕","tʼ"
"t＇","tʼ"
"t'","tʼ"
"tˈ","tʼ"
"t’","tʼ"
"t՚","tʼ"
"t̒","tʼ"
"t̓","tʼ"
"k̓w","kʼw"
"k’w","kʼw"
"kˈw","kʼw"
"k՚w","kʼw"
"k＇w","kʼw"
"k'w","kʼw"
"O¯","Ō"
"O̅","Ō"
"O‾","Ō"
"O︤","Ō"
"O︥","Ō"
"L̷","Ł"
"L̸","Ł"
"E¯","Ē"
"E̅","Ē"
"E‾","Ē"
"E︤","Ē"
"E︥","Ē"
"I¯","Ī"
"I̅","Ī"
"I‾","Ī"
"I︤","Ī"
"I︥","Ī"
"U¯","Ū"
"U̅","Ū"
"U‾","Ū"
