Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","ah",""
"4","c",""
"5","cw",""
"6","e",""
"7","é",""
"8","g",""
"9","gw",""
"10","g̓w",""
"11","h",""
"12","i",""
"13","í",""
"14","k",""
"15","kw",""
"16","k̓",""
"17","k̓w",""
"18","l",""
"19","l̓",""
"20","ll",""
"21","m",""
"22","m̓",""
"23","n",""
"24","n̓",""
"25","o",""
"26","ó",""
"27","p",""
"28","p̓",""
"29","q",""
"30","qw",""
"31","q̓",""
"32","q̓w",""
"33","r",""
"34","r̓",""
"35","s",""
"36","t",""
"37","ts",""
"38","t̓",""
"39","ts̓",""
"40","u",""
"41","ú",""
"42","w",""
"43","w̓",""
"44","x",""
"45","xw",""
"46","y",""
"47","y̓",""
"48","7",""
