Sort Order,Character,Approximate Latin Form(s)
"1","'",""
"2","a",""
"3","aa",""
"4","ch",""
"5","ch'",""
"6","e",""
"7","ee",""
"8","h",""
"9","hw",""
"10","i",""
"11","ii",""
"12","k",""
"13","kw",""
"14","kw'",""
"15","l",""
"16","lh",""
"17","m",""
"18","n",""
"19","o",""
"20","oo",""
"21","ou",""
"22","p",""
"23","p'",""
"24","q",""
"25","q'",""
"26","qw",""
"27","qw'",""
"28","s",""
"29","sh",""
"30","t",""
"31","t'",""
"32","th",""
"33","tl'",""
"34","ts",""
"35","ts'",""
"36","tth",""
"37","tth'",""
"38","u",""
"39","w",""
"40","x",""
"41","xw",""
"42","y",""
