Confusable,Canonical Character
"kwʼ","kw'"
"kw̓","kw'"
"kw̒","kw'"
"kw̕","kw'"
"kw＇","kw'"
"kw̔","kw'"
"kw’","kw'"
"kwˈ","kw'"
"kw՚","kw'"
"tl’","tl'"
"tlˈ","tl'"
"tl՚","tl'"
"tlʼ","tl'"
"tl̓","tl'"
"tl̒","tl'"
"tl̕","tl'"
"tl＇","tl'"
"tl̔","tl'"
"q＇","q'"
"q’","q'"
"q՚","q'"
"qʼ","q'"
"qw’","qw'"
"qw＇","qw'"
"qw՚","qw'"
"qwʼ","qw'"
"＇","'"
"’","'"
"՚","'"
"ʼ","'"
"‘","'"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t’","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"ch＇","ch'"
"ch՚","ch'"
"ch’","ch'"
"chʼ","ch'"
"tthʼ","tth'"
"tth՚","tth'"
"tthˈ","tth'"
"tth’","tth'"
"tth＇","tth'"
"tth̔","tth'"
"tth̕","tth'"
"tth̒","tth'"
"tth̓","tth'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"p̒","p'"
"p̓","p'"
"p̔","p'"
"p̕","p'"
"p＇","p'"
"p’","p'"
"p՚","p'"
"pʼ","p'"
"p̍","p'"
"KWʼ","KW'"
"KW’","KW'"
"KW՚","KW'"
"KW̓","KW'"
"KW̒","KW'"
"KW̕","KW'"
"KW＇","KW'"
"KW̔","KW'"
"KWˈ","KW'"
"TL’","TL'"
"TL՚","TL'"
"TLʼ","TL'"
"TLˈ","TL'"
"TL̓","TL'"
"TL̒","TL'"
"TL̕","TL'"
"TL＇","TL'"
"TL̔","TL'"
"Q＇","Q'"
"Q’","Q'"
"Q̓","Q'"
"Q̕","Q'"
"Q̒","Q'"
"Q̔","Q'"
"Qʼ","Q'"
"Qˈ","Q'"
"Q՚","Q'"
"QW＇","QW'"
"QW’","QW'"
"QW̓","QW'"
"QW̕","QW'"
"QW̒","QW'"
"QW̔","QW'"
"QWʼ","QW'"
"QWˈ","QW'"
"QW՚","QW'"
"T’","T'"
"T՚","T'"
"Tʼ","T'"
"T̔","T'"
"T̕","T'"
"T＇","T'"
"Tˈ","T'"
"T̒","T'"
"T̓","T'"
"CH＇","CH'"
"CH’","CH'"
"CH̓","CH'"
"CH̕","CH'"
"CH̒","CH'"
"CH̔","CH'"
"CHʼ","CH'"
"CHˈ","CH'"
"CH՚","CH'"
"TTH＇","TTH'"
"TTH’","TTH'"
"TTH̓","TTH'"
"TTH̕","TTH'"
"TTH̒","TTH'"
"TTH̔","TTH'"
"TTHʼ","TTH'"
"TTHˈ","TTH'"
"TTH՚","TTH'"
"TS՚","TS'"
"TS’","TS'"
"TSʼ","TS'"
"TS̒","TS'"
"TS̔","TS'"
"TS̓","TS'"
"TS̕","TS'"
"TSˈ","TS'"
"TS＇","TS'"
"P’","P'"
"P՚","P'"
"Pʼ","P'"
"P̒","P'"
"P̓","P'"
"P̔","P'"
"P̕","P'"
"P＇","P'"
"Pˈ","P'"
