Sort Order,Character,Approximate Latin Form(s)
"1","p",""
"2","t",""
"3","k",""
"4","s",""
"5","h",""
"6","m",""
"7","m̓",""
"8","n",""
"9","l",""
"10","r",""
"11","w",""
"12","y",""
"13","c",""
"14","kʷ",""
"15","q",""
"16","qʷ",""
"17","ł",""
"18","x",""
"19","xʷ",""
"20","x̌",""
"21","x̌ʷ",""
"22","p̓",""
"23","t̓",""
"24","c̓",""
"25","k̓",""
"26","k̓ʷ",""
"27","q̓",""
"28","q̓ʷ",""
"29","ƛ̓",""
"30","l̓",""
"31","n̓",""
"32","r̓",""
"33","w̓",""
"34","y̓",""
"35","a",""
"36","ɣ",""
"37","i",""
"38","ə",""
"39","ʔ",""
"40","ʕ",""
"41","ʕ̓",""
