Confusable,Canonical Character
"nˈ","n̓"
"n̕","n̓"
"n̒","n̓"
"n̔","n̓"
"nʼ","n̓"
"n’","n̓"
"n՚","n̓"
"ń","n̓"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"ǝ","ə"
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"kʼʷ","k̓ʷ"
"k՚ʷ","k̓ʷ"
"k’ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"wˈ","w̓"
"w̕","w̓"
"w̒","w̓"
"w̔","w̓"
"wʼ","w̓"
"w’","w̓"
"w՚","w̓"
"ɤ","ɣ"
"γ","ɣ"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"m’","m̓"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̕ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"ƛʼ","ƛ̓"
"ƛ̍","ƛ̓"
"ƛ̒","ƛ̓"
"ƛ̕","ƛ̓"
"ƛ̔","ƛ̓"
"ƛ’","ƛ̓"
"ƛ՚","ƛ̓"
"l̵","ł"
"ɬ","ł"
"ɫ","ł"
"c̕","c̓"
"c̔","c̓"
"c’","c̓"
"c՚","c̓"
"cʼ","c̓"
"c̍","c̓"
"c̒","c̓"
"ć","c̓"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"q’","q̓"
"ʕˈ","ʕ̓"
"ʕ̕","ʕ̓"
"ʕ̒","ʕ̓"
"ʕ̔","ʕ̓"
"ʕʼ","ʕ̓"
"ʕ’","ʕ̓"
"ʕ՚","ʕ̓"
"lʼ","l̓"
"l̔","l̓"
"lˈ","l̓"
"l’","l̓"
"l՚","l̓"
"l̕","l̓"
"ĺ","l̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"p’","p̓"
"t̔","t̓"
"t’","t̓"
"t՚","t̓"
"tʼ","t̓"
"t̍","t̓"
"t̒","t̓"
"t̕","t̓"
"kʼ","k̓"
"k̍","k̓"
"k̒","k̓"
"k̕","k̓"
"k̔","k̓"
"k’","k̓"
"k՚","k̓"
"yˈ","y̓"
"y̕","y̓"
"y̒","y̓"
"y̔","y̓"
"yʼ","y̓"
"y’","y̓"
"y՚","y̓"
"r̕","r̓"
"rʼ","r̓"
