Sort Order,Character,Approximate Latin Form(s)
"1","a","a"
"2","ā","aa"
"3","e","e"
"4","ē","ee"
"5","i","i"
"6","ī","ii"
"7","o","o"
"8","ō","oo"
"9","u","uu"
"10","ū","uu"
"11","’",""
"12","b","b"
"13","ch","ch"
"14","ch’","ch’"
"15","d","d"
"16","dl","dl"
"17","dz","dz"
"18","dẕ","dth"
"19","g","g"
"20","gh","gh"
"21","h","h"
"22","j","j"
"23","k","k"
"24","k’","k’"
"25","kh","kh"
"26","l","l"
"27","ł","lh"
"28","m","m"
"29","n","n"
"30","nh","nh"
"31","p","p"
"32","s","s"
"33","s̱","th"
"34","sh","sh"
"35","t","th"
"36","t’","t’"
"37","tl","kl"
"38","tl’","kl’"
"39","ts","ts"
"40","ts’","ts’"
"41","ts̱","th"
"42","ts̱’","th’"
"43","w","w"
"44","y","y"
"45","yh","yh"
"46","z","z"
"47","ẕ","th"
