Confusable,Canonical Character
"z̲","ẕ"
"z̠","ẕ"
"z_","ẕ"
"l̸","ł"
"l̷","ł"
"a̅","ā"
"a︤","ā"
"a︥","ā"
"a¯","ā"
"a‾","ā"
"i̅","ī"
"i︤","ī"
"i︥","ī"
"i¯","ī"
"i‾","ī"
"k'","k’"
"kʼ","k’"
"k՚","k’"
"k＇","k’"
"k̓","k’"
"k̕","k’"
"kˈ","k’"
"ch'","ch’"
"chʼ","ch’"
"ch՚","ch’"
"ch＇","ch’"
"ch̕","ch’"
"chˈ","ch’"
"ch̒","ch’"
"ch̔","ch’"
"ch̓","ch’"
"dz̲","dẕ"
"dz̠","dẕ"
"dz_","dẕ"
"tl'","tl’"
"tlʼ","tl’"
"tl՚","tl’"
"tl＇","tl’"
"tlˈ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl̔","tl’"
"ts̲","ts̱"
"ts̠","ts̱"
"ts_","ts̱"
"ts'","ts’"
"tsʼ","ts’"
"ts՚","ts’"
"ts＇","ts’"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts̱'","ts̱’"
"ts̱ʼ","ts̱’"
"ts̱՚","ts̱’"
"ts̱＇","ts̱’"
"ts̲'","ts̱’"
"ts̲ʼ","ts̱’"
"ts̲՚","ts̱’"
"ts̲＇","ts̱’"
"ts̠'","ts̱’"
"ts̠ʼ","ts̱’"
"ts̠՚","ts̱’"
"ts̠＇","ts̱’"
"ts_'","ts̱’"
"ts_ʼ","ts̱’"
"ts_՚","ts̱’"
"ts_＇","ts̱’"
"t'","t’"
"tʼ","t’"
"t՚","t’"
"t＇","t’"
"t̔","t’"
"t̕","t’"
"tˈ","t’"
"t̒","t’"
"t̓","t’"
"e̅","ē"
"e︤","ē"
"e︥","ē"
"e¯","ē"
"e‾","ē"
"o̅","ō"
"o︤","ō"
"o︥","ō"
"o¯","ō"
"o‾","ō"
"s̲","s̱"
"s̠","s̱"
"s_","s̱"
"'","’"
"ʼ","’"
"՚","’"
"＇","’"
"̒","’"
"̓ ̕","’"
"̔","’"
"ˈ","’"
"u̅","ū"
"u︤","ū"
"u︥","ū"
"u¯","ū"
"u‾","ū"
"Z̲","Ẕ"
"Z̠","Ẕ"
"Z_","Ẕ"
"L̸","Ł"
"L̷","Ł"
"A̅","Ā"
"A︤","Ā"
"A︥","Ā"
"A¯","Ā"
"A‾","Ā"
"I̅","Ī"
"I︤","Ī"
"I︥","Ī"
"I¯","Ī"
"I‾","Ī"
"K'","K’"
"Kʼ","K’"
"K՚","K’"
"K＇","K’"
"K̒","K’"
"K̓","K’"
"K̔","K’"
"K̕","K’"
"Ќ","K’"
"Kˈ","K’"
"Ch̓","Ch’"
"Ch̕","Ch’"
"Ch̒","Ch’"
"Ch̔","Ch’"
"Chʼ","Ch’"
"Chˈ","Ch’"
"Ch՚","Ch’"
"Ch＇","Ch’"
"Ch'","Ch’"
"Dz̲","Dẕ"
"Dz̠","Dẕ"
"Dz_","Dẕ"
"Tl'","Tl’"
"Tlʼ","Tl’"
"Tl՚","Tl’"
"Tl＇","Tl’"
"Tlˈ","Tl’"
"Tl̓","Tl’"
"Tl̒","Tl’"
"Tl̕","Tl’"
"Tl̔","Tl’"
"Ts̲","Ts̱"
"Ts̠","Ts̱"
"Ts_","Ts̱"
"Ts'","Ts’"
"Tsʼ","Ts’"
"Ts՚","Ts’"
"Ts＇","Ts’"
"Ts̒","Ts’"
"Ts̔","Ts’"
"Ts̓","Ts’"
"Ts̕","Ts’"
"Tsˈ","Ts’"
"Ts̲'","Ts̱’"
"Ts̲ʼ","Ts̱’"
"Ts̲՚","Ts̱’"
"Ts̲＇","Ts̱’"
"Ts̠'","Ts̱’"
"Ts̠ʼ","Ts̱’"
"Ts̠՚","Ts̱’"
"Ts̠＇","Ts̱’"
"Ts_'","Ts̱’"
"Ts_ʼ","Ts̱’"
"Ts_՚","Ts̱’"
"Ts_＇","Ts̱’"
"Ts̱'","Ts̱’"
"Ts̱ʼ","Ts̱’"
"Ts̱՚","Ts̱’"
"Ts̱＇","Ts̱’"
"T'","T’"
"Tʼ","T’"
"T՚","T’"
"T＇","T’"
"T̔","T’"
"T̕","T’"
"Tˈ","T’"
"T̒","T’"
"T̓","T’"
"E̅","Ē"
"E︤","Ē"
"E︥","Ē"
"E¯","Ē"
"E‾","Ē"
"O̅","Ō"
"O︤","Ō"
"O︥","Ō"
"O¯","Ō"
"O‾","Ō"
"S̲","S̱"
"S̠","S̱"
"S_","S̱"
"U̅","Ū"
"U︤","Ū"
"U︥","Ū"
"U¯","Ū"
"U‾","Ū"
