Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","c",""
"4","c̓",""
"5","ch",""
"6","c̓h",""
"7","e",""
"8","é",""
"9","h",""
"10","i",""
"11","k",""
"12","kw",""
"13","k̓w",""
"14","l",""
"15","l̓",""
"16","lh",""
"17","m",""
"18","m̓",""
"19","n",""
"20","n̓",""
"21","oo",""
"22","p",""
"23","p̓",""
"24","q",""
"25","q̓",""
"26","qw",""
"27","q̓w",""
"28","s",""
"29","sh",""
"30","t",""
"31","t̓",""
"32","th",""
"33","t̓h",""
"34","t̓l",""
"35","u",""
"36","w",""
"37","w̓",""
"38","xw",""
"39","x̌",""
"40","x̌w",""
"41","y",""
"42","y̓",""
