Confusable,Canonical Character
"a","a"
"c","c"
"ch","ch"
"c'","c̓"
"cʼ","c̓"
"cˈ","c̓"
"c̒","c̓"
"c̓","c̓"
"c̔","c̓"
"c̕","c̓"
"c՚","c̓"
"c’","c̓"
"c̓h","c̓h"
"e","e"
"h","h"
"i","i"
"k","k"
"kw","kw"
"k'w","k̓w"
"k̍w","k̓w"
"k̒w","k̓w"
"k̓w","k̓w"
"k̔w","k̓w"
"k̕w","k̓w"
"k’w","k̓w"
"ḱw","k̓w"
"l","l"
"lh","lh"
"l'","l̓"
"lʼ","l̓"
"lˈ","l̓"
"l̍","l̓"
"l̒","l̓"
"l̓","l̓"
"l̔","l̓"
"l̕","l̓"
"l՚","l̓"
"l’","l̓"
"ĺ","l̓"
"ľ","l̓"
"m","m"
"m̍","m̓"
"m̒","m̓"
"m̓","m̓"
"m̔","m̓"
"m̕","m̓"
"m’","m̓"
"ḿ","m̓"
"n","n"
"n̍","n̓"
"n̒","n̓"
"n̓","n̓"
"n̔","n̓"
"n̕","n̓"
"n’","n̓"
"ń","n̓"
"oo","oo"
"p","p"
"p̍","p̓"
"p̒","p̓"
"p̓","p̓"
"p̔","p̓"
"p̕","p̓"
"q","q"
"qw","qw"
"q́","q̓"
"q̍","q̓"
"q̒","q̓"
"q̓","q̓"
"q̔","q̓"
"q̕","q̓"
"q’","q̓"
"q́w","q̓w"
"q̍w","q̓w"
"q̒w","q̓w"
"q̓w","q̓w"
"q̔w","q̓w"
"q̕w","q̓w"
"s","s"
"sh","sh"
"t","t"
"th","th"
"t́","t̓"
"t̍","t̓"
"t̒","t̓"
"t̓","t̓"
"t̔","t̓"
"t̕","t̓"
"t’","t̓"
"t̓h","t̓h"
"t̓l","t̓l"
"u","u"
"w","w"
"w̍","w̓"
"w̒","w̓"
"w̓","w̓"
"w̔","w̓"
"w̕","w̓"
"w’","w̓"
"ẃ","w̓"
"xw","xw"
"x̌","x̌"
"x̌w","x̌w"
"y","y"
"y̍","y̓"
"y̒","y̓"
"y̓","y̓"
"y̔","y̓"
"y̕","y̓"
"ý","y̓"
"á","á"
"é","é"
