Sort Order,Character,Approximate Latin Form(s)
"1","a","uh, a"
"2","aa","a, ah, aa, aah"
"3","c","ts, s"
"4","c̓","ts, s, tsuh"
"5","č","ch"
"6","č̓","ch, chuh"
"7","h","h"
"8","ḥ","h, huh"
"9","i","e, i, eh"
"10","ii","ee, i, eeh, ii"
"11","k","k, ck"
"12","k̓","k, ck, kuh, kah"
"13","kʷ","kw, qui, kwa, qwa"
"14","k̓ʷ","kwa,kwah,kwuh,qwuh"
"15","ł","lth, th, ths, hls"
"16","ƛ","tl,kl,lth,thl"
"17","ƛ̓","tlah,klah,lth,thl"
"18","m","m, mm"
"19","m̓","m,muh,mmuh,mah,mmah"
"20","n","n, nn"
"21","n̓","n,nuh,nnuh,nah,nnah"
"22","p","p"
"23","p̓","p,puh,pah,pu,pa"
"24","q","q,k,kuh,quh,kah,qah"
"25","qʷ","qw,kw,qwuh,kwuh"
"26","s","s, ss, c"
"27","š","sh, ssh, shh"
"28","t","t, tu, ta"
"29","t̓","t, tuh, tah"
"30","u","u, o, uh, uuh, ooh"
"31","uu","uu, oo, uhoo"
"32","w","w, wu, wa"
"33","w̓","w, wuh, wah"
"34","x","x, hs, hx"
"35","xʷ","x, hx, hxa, hxuh"
"36","x̣","xw, hw, hxw"
"37","x̣ʷ","xw,xwa,xwu,hwuh"
"38","y","y, yi, ye"
"39","y̓","y, yuh, yeh, yah"
"40","ʔ","-,',a,i,u,e,oo"
"41","ʕ","a,i,u,e,oo,ehn"
"42","e","eh"
"43","ee","ee, eeh,  i, ii"
"44","oo","oo, ou, ooh"
