Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","aa",""
"3","c","ts"
"4","c̓","ts"
"5","č","ch"
"6","č̓","ch"
"7","h",""
"8","ḥ","h"
"9","i",""
"10","ii",""
"11","k",""
"12","k̓","k"
"13","kʷ","kw"
"14","k̓ʷ","kw"
"15","ł","sh,th,tl"
"16","ƛ","tl"
"17","ƛ̓","tl"
"18","m",""
"19","m̓","m"
"20","n",""
"21","n̓","n"
"22","p",""
"23","p̓","p"
"24","q","k"
"25","qʷ","kw,qw"
"26","s",""
"27","š","sh"
"28","t",""
"29","t̓","t"
"30","u",""
"31","uu",""
"32","w",""
"33","w̓","w"
"34","x",""
"35","x̣","x,h"
"36","xʷ","xw,xu,hu"
"37","x̣ʷ","xw,xu,hu"
"38","y",""
"39","y̓","y"
"40","ʕ","?"
"41","ʔ","?"
"42","e",""
"43","ee",""
"44","o",""
"45","oo",""
