Confusable,Canonical Character
"t́","t̓"
"t̍","t̓"
"t̒","t̓"
"t̔","t̓"
"t̕","t̓"
"t’","t̓"
"ý","y̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"y’","y̓"
"k̍ʷ","k̓ʷ"
"k̒ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"cʼ","c̓"
"cˈ","c̓"
"c̒","c̓"
"c̔","c̓"
"c̕","c̓"
"c՚","c̓"
"c’","c̓"
"λ̷","ƛ"
"λ̸","ƛ"
"čʼ","č̓"
"čˈ","č̓"
"č̍","č̓"
"č̒","č̓"
"č̔","č̓"
"č̕","č̓"
"č՚","č̓"
"č’","č̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"m’","m̓"
"ḿ","m̓"
"l̷","ł"
"l̸","ł"
"n̍","n̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n’","n̓"
"ń","n̓"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"w’","w̓"
"ẃ","w̓"
"Ɂ","ʔ"
"ɂ","ʔ"
"ॽ","ʔ"
"ƛ̍","ƛ̓"
"ƛ̒","ƛ̓"
"ƛ̔","ƛ̓"
"ƛ̕","ƛ̓"
"λ̷̍","ƛ̓"
"λ̷̒","ƛ̓"
"λ̷̓","ƛ̓"
"λ̷̔","ƛ̓"
"λ̷̕","ƛ̓"
"λ̸̍","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̔","ƛ̓"
"λ̸̕","ƛ̓"
"ƛ’","ƛ̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"k’","k̓"
"ḱ","k̓"
"k`","k̓"
"p̍","p̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p’","p̓"
