Confusable,Canonical Character
"̒","’"
"̔","’"
"'","’"
"＇","’"
"ˈ","’"
"՚","’"
"ʼ","’"
"k̓","k’"
"k̕","k’"
"t̔","t’"
"t̕","t’"
"t̒","t’"
"t̓","t’"
"kw̓","kw’"
"kw̒","kw’"
"kw̕","kw’"
"kw̔","kw’"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"ch̕","ch’"
"ch̒","ch’"
"ch̔","ch’"
"ch̓","ch’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl̔","tl’"
"̱","̲"
"̠","̲"
"ṯ","t̲"
"ḏ","d̲"
"ẕ","z̲"
"s̲̓","s̲’"
"s̲̕","s̲’"
"s̲̒","s̲’"
"s̲̔","s̲’"
"s̠̓","s̲’"
"s̠̕","s̲’"
"s̠̒","s̲’"
"s̠̔","s̲’"
"ź̲","z̲’"
"ẕ́","z̲’"
