Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","aa",""
"4","áa",""
"5","ch",""
"6","ch’",""
"7","d",""
"8","dl",""
"9","dz",""
"10","e",""
"11","é",""
"12","ei",""
"13","éi",""
"14","g",""
"15","gw",""
"16","g̱",""
"17","g̱w",""
"18","h",""
"19","i",""
"20","í",""
"21","ee",""
"22","ée",""
"23","j",""
"24","k",""
"25","kw",""
"26","k’",""
"27","k’w",""
"28","ḵ",""
"29","ḵw",""
"30","ḵ’",""
"31","ḵ’w",""
"32","l",""
"33","l’",""
"34","n",""
"35","s",""
"36","s’",""
"37","sh",""
"38","t",""
"39","t’",""
"40","tl",""
"41","tl’",""
"42","ts",""
"43","ts’",""
"44","u",""
"45","ú",""
"46","oo",""
"47","óo",""
"48","o̱o",""
"49","ó̱o",""
"50","w",""
"51","x",""
"52","xw",""
"53","x’",""
"54","x’w",""
"55","x̱",""
"56","x̱w",""
"57","x̱’",""
"58","x̱’w",""
"59","y",""
"60","ÿ",""
"61",".",""
