Confusable,Canonical Character
"·","."
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"ts՚","ts’"
"tsˈ","ts’"
"ts'","ts’"
"k_̕","ḵ’"
"ḵ'","ḵ’"
"k̲＇","ḵ’"
"k_’","ḵ’"
"k̠ʼ","ḵ’"
"k̲̓","ḵ’"
"k̲̕","ḵ’"
"k̲'","ḵ’"
"k̠＇","ḵ’"
"k̲՚","ḵ’"
"ḵ'","ḵ’"
"k̠̓","ḵ’"
"k̠̕","ḵ’"
"ḵ＇","ḵ’"
"k̠՚","ḵ’"
"k̠'","ḵ’"
"k_ʼ","ḵ’"
"ḵ'","ḵ’"
"ḵ̕","ḵ’"
"ḵ'","ḵ’"
"k̠'","ḵ’"
"k̲ʼ","ḵ’"
"ḵ՚","ḵ’"
"k̲’","ḵ’"
"k_̓","ḵ’"
"kʼw","k’w"
"k՚w","k’w"
"k̕w","k’w"
"k'w","k’w"
"aʼa","áa"
"a՚a","áa"
"a’a","áa"
"a＇a","áa"
"x_","x̱"
"x̠","x̱"
"x̲'","x̱’"
"x_'","x̱’"
"x̠'","x̱’"
"x̲","x̱’"
"o̲","o̱"
"o̠","o̱"
"o","o"
"s'","s’"
"l'","l’"
"k'","k’"
"h'","h’"
"g_","g̱"
"g̠","g̱"
"g̲","g̱"
"t'","t’"
"tl'","tl’"
"K'","K’"
"S'","S’"
"l'","l’"
"x'","x’"
