Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","ą",""
"3","aa",""
"4","ąą",""
"5","ae",""
"6","ai",""
"7","b",""
"8","ch",""
"9","ch’",""
"10","d",""
"11","dl",""
"12","dz",""
"13","d̲z̲",""
"14","e",""
"15","ę",""
"16","ea",""
"17","ęą",""
"18","g",""
"19","gh",""
"20","h",""
"21","i",""
"22","ii",""
"23","j",""
"24","k",""
"25","k’",""
"26","l",""
"27","lh",""
"28","m",""
"29","n",""
"30","o",""
"31","ǫ",""
"32","s",""
"33","s̲",""
"34","sh",""
"35","t",""
"36","t’",""
"37","tl",""
"38","tl’",""
"39","ts",""
"40","ts’",""
"41","t̲s̲",""
"42","t̲s̲’",""
"43","u",""
"44","uu",""
"45","w",""
"46","wą",""
"47","waa",""
"48","wąą",""
"49","we",""
"50","wea",""
"51","węą",""
"52","wi",""
"53","wii",""
"54","y",""
"55","z",""
"56","z̲",""
"57","zh",""
"58","ʔ",""
