Sort Order,Character,Approximate Latin Form(s)
"1","'",""
"2","a",""
"3","a̱",""
"4","b",""
"5","ch",""
"6","ch'",""
"7","d",""
"8","dl",""
"9","dz",""
"10","e",""
"11","e̱",""
"12","g",""
"13","gh",""
"14","h",""
"15","i",""
"16","i̱",""
"17","j",""
"18","k",""
"19","k'",""
"20","kh",""
"21","kw",""
"22","kw'",""
"23","l",""
"24","lh",""
"25","m",""
"26","n",""
"27","o",""
"28","o̱",""
"29","s",""
"30","sh",""
"31","t",""
"32","t'",""
"33","tl",""
"34","ts",""
"35","ts'",""
"36","oo",""
"37","o̱o̱",""
"38","u",""
"39","u̱",""
"40","w",""
"41","y",""
"42","z",""
"43","ẕ",""
