Confusable,Canonical Character
"z̲","ẕ"
"z̠","ẕ"
"z_","ẕ"
"ch̓","ch'"
"ch̕","ch'"
"ch̒","ch'"
"ch̔","ch'"
"chʼ","ch'"
"ch’","ch'"
"ch՚","ch'"
"chˈ","ch'"
"ch＇","ch'"
"ʣ","dz"
"o̲","o̱"
"o̠","o̱"
"u̲","u̱"
"u̠","u̱"
"u_","u̱"
"̒","'"
"̕","'"
"̔","'"
"’","'"
"՚","'"
"ʼ","'"
"̓","'"
"ˈ","'"
"a̲","a̱"
"a_","a̱"
"a̠","a̱"
"kw＇","kw'"
"kwˈ","kw'"
"kw̓","kw'"
"kw̕","kw'"
"kw̒","kw'"
"kw̔","kw'"
"kwʼ","kw'"
"kw’","kw'"
"kw՚","kw'"
"i̲","i̱"
"i̠","i̱"
"i_","i̱"
"kʼ","k'"
"k̓","k'"
"k̕","k'"
"kˈ","k'"
"k＇","k'"
"k’","k'"
"k՚","k'"
"k̒","k'"
"k̔","k'"
"e̲","e̱"
"e̠","e̱"
"e_","e̱"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"ts՚","ts'"
"ts’","ts'"
"tsʼ","ts'"
"tsˈ","ts'"
"ts＇","ts'"
"ʦ","ts"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"t’","t'"
"o̲o̲","o̱o̱"
"o̠o̲","o̱o̱"
"o̲o̠","o̱o̱"
"o̠o̠","o̱o̱"
"o̱o̠","o̱o̱"
"o̠o̱","o̱o̱"
"o̱o̲","o̱o̱"
"o̲o̱","o̱o̱"
"Z_","Ẕ"
"Z̠","Ẕ"
"Z̲","Ẕ"
"Chʼ","Ch'"
"Chˈ","Ch'"
"Ch̒","Ch'"
"Ch̓","Ch'"
"Ch̔","Ch'"
"Ch̕","Ch'"
"Ch՚","Ch'"
"Ch’","Ch'"
"Ch＇","Ch'"
"O̲","O̱"
"U̲","U̱"
"A_","A̱"
"A̠","A̱"
"A̲","A̱"
"I̲","I̱"
"Kʼ","K'"
"Kˈ","K'"
"K̒","K'"
"K̓","K'"
"K̔","K'"
"K̕","K'"
"K՚","K'"
"K’","K'"
"K＇","K'"
"Ќ","K'"
"E̲","E̱"
"Tsʼ","Ts'"
"Tsˈ","Ts'"
"Ts̒","Ts'"
"Ts̓","Ts'"
"Ts̔","Ts'"
"Ts̕","Ts'"
"Ts՚","Ts'"
"Ts’","Ts'"
"Ts＇","Ts'"
"Tʼ","T'"
"Tˈ","T'"
"T̒","T'"
"T̓","T'"
"T̔","T'"
"T̕","T'"
"T՚","T'"
"T’","T'"
"T＇","T'"
