Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","aa",""
"3","c",""
"4","c̓",""
"5","č",""
"6","č̓",""
"7","h",""
"8","ḥ",""
"9","i",""
"10","ii",""
"11","k",""
"12","k̓",""
"13","kʷ",""
"14","k̓ʷ",""
"15","ł",""
"16","ƛ",""
"17","ƛ̓",""
"18","m",""
"19","m̓",""
"20","n",""
"21","n̓",""
"22","p",""
"23","p̓",""
"24","q",""
"25","qʷ",""
"26","s",""
"27","š",""
"28","t",""
"29","t̓",""
"30","u",""
"31","uu",""
"32","w",""
"33","w̓",""
"34","x",""
"35","x̣",""
"36","xʷ",""
"37","x̣ʷ",""
"38","y",""
"39","y̓",""
"40","ʕ",""
"41","ʔ",""
"42","e",""
"43","ee",""
"44","oo",""
