Confusable,Canonical Character
"čʼ","č̓"
"č՚","č̓"
"č'","č̓"
"č̕","č̓"
"č’","č̓"
"w̔","w̓"
"w̕","w̓"
"w̒","w̓"
"w̍","w̓"
"t̕","t̓"
"t̒","t̓"
"t̍","t̓"
"t̔","t̓"
"tʼ","t̓"
"t’","t̓"
"t՚","t̓"
"l̸","ł"
"l̷","ł"
"n̍","n̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"c̕","c̓"
"c̍","c̓"
"c̔","c̓"
"c̒","c̓"
"cʼ","c̓"
"c’","c̓"
"c՚","c̓"
"λ̸","ƛ"
"λ̷","ƛ"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"k̕","k̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"kʼ","k̓"
"k’","k̓"
"k՚","k̓"
"k`","k̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"m̍","m̓"
"ƛ̕","ƛ̓"
"ƛ̒","ƛ̓"
"ƛ̔","ƛ̓"
"ƛ̍","ƛ̓"
"ƛʼ","ƛ̓"
"ƛ’","ƛ̓"
"ƛ՚","ƛ̓"
"ƛ`","ƛ̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"p̕","p̓"
"p̔","p̓"
"p̒","p̓"
"p̍","p̓"
"p`","p̓"
"k̕ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̒ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"kʼʷ","k̓ʷ"
"k’ʷ","k̓ʷ"
"k՚ʷ","k̓ʷ"
