Sort Order,Character,Approximate Latin Form(s)
"1","i",""
"2","ɨ",""
"3","a",""
"4","e",""
"5","u",""
"6","o",""
"7","b",""
"8","p",""
"9","m",""
"10","d",""
"11","t",""
"12","t’",""
"13","n",""
"14","dl",""
"15","tl",""
"16","tl’",""
"17","lh",""
"18","l",""
"19","dẑ",""
"20","tŝ",""
"21","tŝ’",""
"22","ŝ",""
"23","ẑ",""
"24","dz",""
"25","ts",""
"26","ts’",""
"27","s",""
"28","z",""
"29","j",""
"30","ch",""
"31","ch’",""
"32","sh",""
"33","y",""
"34","g",""
"35","k",""
"36","k’",""
"37","gw",""
"38","kw",""
"39","kw’",""
"40","wh",""
"41","w",""
"42","gg",""
"43","q",""
"44","q’",""
"45","x",""
"46","gh",""
"47","ggw",""
"48","qw",""
"49","qw’",""
"50","xw",""
"51","ŵ",""
"52","ʔ",""
"53","h",""
