Confusable,Canonical Character
"tŝ＇","tŝ’"
"tŝ'","tŝ’"
"tŝ̓","tŝ’"
"tŝ̕","tŝ’"
"tŝ̒","tŝ’"
"tŝ̔","tŝ’"
"tŝʼ","tŝ’"
"tŝˈ","tŝ’"
"tŝ՚","tŝ’"
"kwʼ","kw’"
"kw̓","kw’"
"kw̒","kw’"
"kw̕","kw’"
"kw＇","kw’"
"kw̔","kw’"
"kw'","kw’"
"kwˈ","kw’"
"kw՚","kw’"
"ch＇","ch’"
"ch̕","ch’"
"chˈ","ch’"
"ch'","ch’"
"ch՚","ch’"
"chʼ","ch’"
"ch̒","ch’"
"ch̔","ch’"
"ch̓","ch’"
"qw'","qw’"
"qw＇","qw’"
"qw՚","qw’"
"qwʼ","qw’"
"i̸","ɨ"
"i̷","ɨ"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts'","ts’"
"ts՚","ts’"
"ts＇","ts’"
"tsʼ","ts’"
"kʼ","k’"
"k̓","k’"
"k̕","k’"
"k'","k’"
"k＇","k’"
"kˈ","k’"
"k՚","k’"
"t̔","t’"
"t̕","t’"
"t＇","t’"
"t'","t’"
"tˈ","t’"
"t՚","t’"
"tʼ","t’"
"t̒","t’"
"t̓","t’"
"tlˈ","tl’"
"tl՚","tl’"
"tlʼ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl＇","tl’"
"tl̔","tl’"
"tl'","tl’"
"q'","q’"
"q＇","q’"
"q՚","q’"
"qʼ","q’"
