Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"4","aa",""
"7","e",""
"10","ee",""
"13","c",""
"14","c̓",""
"15","č",""
"16","č̓",""
"17","h",""
"18","ḥ",""
"19","i",""
"22","ii",""
"25","k",""
"26","k̓",""
"27","kʷ",""
"28","k̓ʷ",""
"29","ł",""
"30","ƛ",""
"31","ƛ̓",""
"32","m",""
"33","m̓",""
"34","n",""
"35","n̓",""
"36","p",""
"37","p̓",""
"38","q",""
"39","qʷ",""
"40","s",""
"41","š",""
"42","t",""
"43","t̓",""
"44","u",""
"47","uu",""
"50","w",""
"51","w̓",""
"52","x",""
"53","x̣",""
"54","xʷ",""
"55","x̣ʷ",""
"56","y",""
"57","y̓",""
"58","ʕ",""
"59","ʔ",""
