Confusable,Canonical Character
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"kʼʷ","k̓ʷ"
"k՚ʷ","k̓ʷ"
"k’ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"wˈ","w̓"
"w’","w̓"
"w՚","w̓"
"wʼ","w̓"
"w̒","w̓"
"w̕","w̓"
"w̔","w̓"
"l̸","ł"
"l̷","ł"
"t̔","t̓"
"t’","t̓"
"t՚","t̓"
"tʼ","t̓"
"t̍","t̓"
"t̒","t̓"
"t̕","t̓"
"m̍","m̓"
"m̒","m̓"
"m̕","m̓"
"m̔","m̓"
"n̒","n̓"
"n̕","n̓"
"n̔","n̓"
"nˈ","n̓"
"n’","n̓"
"n՚","n̓"
"nʼ","n̓"
"y’","y̓"
"y՚","y̓"
"yʼ","y̓"
"y̒","y̓"
"y̕","y̓"
"y̔","y̓"
"yˈ","y̓"
"λ̸","ƛ"
"λ̷","ƛ"
"č՚","č̓"
"čʼ","č̓"
"č’","č̓"
"č'","č̓"
"č̕","č̓"
"kʼ","k̓"
"k̍","k̓"
"k̒","k̓"
"k̕","k̓"
"k̔","k̓"
"k’","k̓"
"k՚","k̓"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"c̕","c̓"
"c̔","c̓"
"c’","c̓"
"c՚","c̓"
"cʼ","c̓"
"c̍","c̓"
"c̒","c̓"
"p̒","p̓"
"p̕","p̓"
"p̔","p̓"
"p̍","p̓"
"ƛʼ","ƛ̓"
"ƛ̍","ƛ̓"
"ƛ̒","ƛ̓"
"ƛ̕","ƛ̓"
"ƛ̔","ƛ̓"
"ƛ’","ƛ̓"
"ƛ՚","ƛ̓"
