Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","b",""
"3","ch",""
"4","ch'",""
"5","d",""
"6","dl",""
"7","dz",""
"8","e",""
"9","g",""
"10","gh",""
"11","gw",""
"12","h",""
"13","i",""
"14","j",""
"15","k",""
"16","k'",""
"17","kh",""
"18","kw",""
"19","kw'",""
"20","l",""
"21","lh",""
"22","m",""
"23","n",""
"24","o",""
"25","oo",""
"26","s",""
"27","sh",""
"28","t",""
"29","t'",""
"30","tl",""
"31","tl'",""
"32","ts",""
"33","ts'",""
"34","u",""
"35","w",""
"36","wh",""
"37","y",""
"38","z",""
"39","'",""
