Confusable,Canonical Character
"'","'"
"ʼ","'"
"ˈ","'"
"՚","'"
"’","'"
"A","A"
"B","B"
"Ch","Ch"
"Ch'","Ch'"
"Chʼ","Ch'"
"Chˈ","Ch'"
"Ch̒","Ch'"
"Ch̓","Ch'"
"Ch̔","Ch'"
"Ch̕","Ch'"
"Ch՚","Ch'"
"Ch’","Ch'"
"Ch＇","Ch'"
"D","D"
"Dl","Dl"
"Dz","Dz"
"E","E"
"G","G"
"Gh","Gh"
"Gw","Gw"
"H","H"
"I","I"
"J","J"
"K","K"
"K'","K'"
"Kʼ","K'"
"Kˈ","K'"
"K̒","K'"
"K̓","K'"
"K̔","K'"
"K̕","K'"
"K՚","K'"
"K’","K'"
"K＇","K'"
"Ќ","K'"
"Kh","Kh"
"Kw","Kw"
"Kw'","Kw'"
"Kwʼ","Kw'"
"Kwˈ","Kw'"
"Kw̒","Kw'"
"Kw̓","Kw'"
"Kw̔","Kw'"
"Kw̕","Kw'"
"Kw՚","Kw'"
"Kw’","Kw'"
"Kw＇","Kw'"
"L","L"
"Lh","Lh"
"M","M"
"N","N"
"O","O"
"Oo","Oo"
"S","S"
"Sh","Sh"
"T","T"
"T'","T'"
"Tʼ","T'"
"Tˈ","T'"
"T̒","T'"
"T̓","T'"
"T̔","T'"
"T̕","T'"
"T՚","T'"
"T’","T'"
"T＇","T'"
"Tl","Tl"
"Tl'","Tl'"
"Tlʼ","Tl'"
"Tlˈ","Tl'"
"Tl̒","Tl'"
"Tl̓","Tl'"
"Tl̔","Tl'"
"Tl̕","Tl'"
"Tl՚","Tl'"
"Tl’","Tl'"
"Tl＇","Tl'"
"Ts","Ts"
"Ts'","Ts'"
"Tsʼ","Ts'"
"Tsˈ","Ts'"
"Ts̒","Ts'"
"Ts̓","Ts'"
"Ts̔","Ts'"
"Ts̕","Ts'"
"Ts՚","Ts'"
"Ts’","Ts'"
"Ts＇","Ts'"
"U","U"
"W","W"
"Wh","Wh"
"Y","Y"
"Z","Z"
"a","a"
"b","b"
"ch","ch"
"ch'","ch'"
"chʼ","ch'"
"ch՚","ch'"
"ch’","ch'"
"ch＇","ch'"
"d","d"
"dl","dl"
"dz","dz"
"ʣ","dz"
"e","e"
"g","g"
"gh","gh"
"gw","gw"
"h","h"
"i","i"
"j","j"
"k","k"
"k'","k'"
"kʼ","k'"
"kˈ","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k՚","k'"
"k’","k'"
"k＇","k'"
"kh","kh"
"kw","kw"
"kw'","kw'"
"kwʼ","kw'"
"kwˈ","kw'"
"kw̒","kw'"
"kw̓","kw'"
"kw̔","kw'"
"kw̕","kw'"
"kw՚","kw'"
"kw’","kw'"
"kw＇","kw'"
"l","l"
"lh","lh"
"m","m"
"n","n"
"o","o"
"oo","oo"
"s","s"
"sh","sh"
"t","t"
"t'","t'"
"tʼ","t'"
"tˈ","t'"
"t̒","t'"
"t̓","t'"
"t̔","t'"
"t̕","t'"
"t՚","t'"
"t’","t'"
"t＇","t'"
"tl","tl"
"tl'","tl'"
"tlʼ","tl'"
"tlˈ","tl'"
"tl̒","tl'"
"tl̓","tl'"
"tl̔","tl'"
"tl̕","tl'"
"tl՚","tl'"
"tl’","tl'"
"tl＇","tl'"
"ts","ts"
"ʦ","ts"
"ts'","ts'"
"tsʼ","ts'"
"tsˈ","ts'"
"ts̒","ts'"
"ts̓","ts'"
"ts̔","ts'"
"ts̕","ts'"
"ts՚","ts'"
"ts’","ts'"
"ts＇","ts'"
"u","u"
"w","w"
"wh","wh"
"y","y"
"z","z"
