Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","b",""
"3","c",""
"4","c’",""
"5","d",""
"6","dz",""
"7","e",""
"8","ë",""
"9","g",""
"10","gg",""
"11","gh",""
"12","gw",""
"13","h",""
"14","i",""
"15","ï",""
"16","k",""
"17","k’",""
"18","kh",""
"19","kw",""
"20","kw’",""
"21","l",""
"22","lh",""
"23","m",""
"24","n",""
"25","o",""
"26","p",""
"27","s",""
"28","t",""
"29","t’",""
"30","ts",""
"31","ts’",""
"32","tl",""
"33","tl’",""
"34","u",""
"35","w",""
"36","wh",""
"37","y",""
"38","yh",""
"39","z",""
"40","’",""
