Confusable,Canonical Character
"c̓","c’"
"c̕","c’"
"c̒","c’"
"c̔","c’"
"cʼ","c’"
"cˈ","c’"
"c՚","c’"
"c＇","c’"
"c'","c’"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts'","ts’"
"ts՚","ts’"
"ts＇","ts’"
"tsʼ","ts’"
"tlˈ","tl’"
"tl՚","tl’"
"tlʼ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl＇","tl’"
"tl̔","tl’"
"tl'","tl’"
"t̔","t’"
"t̕","t’"
"t＇","t’"
"t'","t’"
"tˈ","t’"
"t՚","t’"
"tʼ","t’"
"t̒","t’"
"t̓","t’"
"kʼ","k’"
"k̓","k’"
"k̕","k’"
"k'","k’"
"k＇","k’"
"kˈ","k’"
"k՚","k’"
"ḱ","k’"
"ʣ","dz"
"̒","’"
"̓ ̕","’"
"̔","’"
"'","’"
"＇","’"
"ˈ","’"
"՚","’"
"ʼ","’"
"kwʼ","kw’"
"kw̓","kw’"
"kw̒","kw’"
"kw̕","kw’"
"kw＇","kw’"
"kw̔","kw’"
"kw'","kw’"
"kwˈ","kw’"
"kw՚","kw’"
"ʦ","ts"
"T'","T’"
"Tʼ","T’"
"Tˈ","T’"
"T̒","T’"
"T̓","T’"
"T̔","T’"
"T̕","T’"
"T՚","T’"
"T＇","T’"
"K'","K’"
"Kʼ","K’"
"Kˈ","K’"
"K̒","K’"
"K̓","K’"
"K̔","K’"
"K̕","K’"
"K՚","K’"
"K＇","K’"
"Ќ","K’"
