Sort Order,Character,Approximate Latin Form(s)
"1","b",""
"2","p",""
"3","p̓",""
"4","m",""
"5","m̓",""
"6","əm",""
"7","ə̀m",""
"8","d",""
"9","t",""
"10","t̓",""
"11","n",""
"12","n̓",""
"13","ən",""
"14","ə̀n",""
"15","z",""
"16","c","ts"
"17","c̓","ts"
"18","s",""
"19","dh","gl"
"20","th","kl"
"21","t̓h","kl"
"22","lh","thl"
"23","l",""
"24","l̓",""
"25","əl",""
"26","ə̀l",""
"27","g",""
"28","k",""
"29","k̓",""
"30","x",""
"31","y",""
"32","y̓",""
"33","gv","gw"
"34","kv","kw"
"35","k̓v","kw"
"36","xv","xw"
"37","ǧv",""
"38","qv","qw"
"39","q̓v","qw"
"40","x̌v",""
"41","w",""
"42","w̓",""
"43","ǧ",""
"44","q",""
"45","q̓",""
"46","x̌",""
"47","h",""
"148","i",""
"149","ì",""
"150","a",""
"151","à",""
"152","a̓",""
"153","u",""
"154","ù",""
