Base Character,Variant
"b","B"
"p","P"
"p̓","’P"
"m","M"
"m̓","’M"
"d","D"
"t","T"
"t̓","’T"
"n","N"
"n̓","’N"
"z","Z"
"c","C"
"c̓","’C"
"s","S"
"dh","Dh"
"th","Th"
"t̓h","’Th"
"lh","Lh"
"l","L"
"l̓","’L"
"g","G"
"k","K"
"k̓","’K"
"x","X"
"y","Y"
"y̓","’Y"
"gv","Gv"
"kv","Kv"
"k̓v","’Kv"
"xv","Xv"
"w","W"
"w̓","’W"
"ǧv","ˇGv"
"qv","Qv"
"q̓v","’Qv"
"x̌v","ˇXv"
"ǧ","ˇG"
"q","Q"
"q̓","’Q"
"x̌","ˇX"
"h","H"
"əm","ə̀m"
"əmm̓","ə̀mm̓"
"ən","ə̀n"
"ənn̓","ə̀nn̓"
"əl","ə̀l"
"əll̓","ə̀ll̓"
"i","ì"
"iy̓","ìy̓"
"u","ù"
"uw̓","ùw̓"
"a","à"
"a","A"
"’a","’À"
"’a","’à"
"’a","’A"
