Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","aa",""
"4","áa",""
"5","b",""
"6","d",""
"7","dl",""
"8","ee",""
"9","ée",""
"10","g",""
"11","g̱",""
"12","h",""
"13","hl",""
"14","i",""
"15","í",""
"16","ii",""
"17","íi",""
"18","j",""
"19","k",""
"20","k'",""
"21","ḵ",""
"22","ḵ'",""
"23","l",""
"24","m",""
"25","n",""
"26","ng",""
"27","p",""
"28","s",""
"29","t",""
"30","t'",""
"31","tl",""
"32","tl'",""
"33","ts",""
"34","ts'",""
"35","u",""
"36","ú",""
"37","uu",""
"38","úu",""
"39","w",""
"40","'w",""
"41","x",""
"42","x̱",""
"43","y",""
"44","'y",""
"45","'",""
"46",".",""
