Confusable,Canonical Character
"g_","g̱"
"g̠","g̱"
"g̲","g̱"
"ḵ̕","ḵ'"
"k_’","ḵ'"
"k̠ʼ","ḵ'"
"ḵ’","ḵ'"
"k_՚","ḵ'"
"k̲’","ḵ'"
"k̲՚","ḵ'"
"ḵʼ","ḵ'"
"ḵ＇","ḵ'"
"ḵˈ","ḵ'"
"k̠՚","ḵ'"
"k̠’","ḵ'"
"k_ʼ","ḵ'"
"ḵ̓","ḵ'"
"ḵ̒","ḵ'"
"ḵ̔","ḵ'"
"k̲ʼ","ḵ'"
"ḵ՚","ḵ'"
"kʼ","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k＇","k'"
"kˈ","k'"
"k’","k'"
"k՚","k'"
"tl’","tl'"
"tlˈ","tl'"
"tl՚","tl'"
"tlʼ","tl'"
"tl̓","tl'"
"tl̒","tl'"
"tl̕","tl'"
"tl＇","tl'"
"tl̔","tl'"
"x_","x̱"
"x̠","x̱"
"x̲","x̱"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t’","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"k̲","ḵ"
"k̠","ḵ"
"k_","ḵ"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"ʼ","'"
"＇","'"
"ˈ","'"
"’","'"
"՚","'"
"G̲","G̱"
"G̠","G̱"
"G_","G̱"
"Ḵ＇","Ḵ'"
"Ḵ’","Ḵ'"
"Ḵ̓","Ḵ'"
"Ḵ̕","Ḵ'"
"Ḵ̒","Ḵ'"
"Ḵ̔","Ḵ'"
"Ḵʼ","Ḵ'"
"Ќ̱","Ḵ'"
"Ḵˈ","Ḵ'"
"Ḵ՚","Ḵ'"
"K̲＇","Ḵ'"
"K̲’","Ḵ'"
"K̲̓","Ḵ'"
"K̲̕","Ḵ'"
"K̲̒","Ḵ'"
"K̲̔","Ḵ'"
"K̲ʼ","Ḵ'"
"Ќ̲","Ḵ'"
"K̲ˈ","Ḵ'"
"K̲՚","Ḵ'"
"K＇","K'"
"K’","K'"
"K̓","K'"
"K̕","K'"
"K̒","K'"
"K̔","K'"
"Kʼ","K'"
"Ќ","K'"
"Kˈ","K'"
"K՚","K'"
"X̠","X̱"
"X̲","X̱"
"X_","X̱"
"T＇","T'"
"T’","T'"
"T̓","T'"
"T̕","T'"
"T̒","T'"
"T̔","T'"
"Tʼ","T'"
"Tˈ","T'"
"T՚","T'"
"K̲","Ḵ"
"K̠","Ḵ"
"K_","Ḵ"
"Ts＇","Ts'"
"Ts’","Ts'"
"Ts̓","Ts'"
"Ts̕","Ts'"
"Ts̒","Ts'"
"Ts̔","Ts'"
"Tsʼ","Ts'"
"Tsˈ","Ts'"
"Ts՚","Ts'"
