Sort Order,Character,Approximate Latin Form(s)
"1","p",""
"2","p̓","p' p’"
"3","t",""
"4","t̓","t' t’"
"5","k",""
"6","kʷ","kw"
"7","k̓ʷ","kw' kw’"
"8","q",""
"9","q̓","q' q’"
"10","qʷ","qw"
"11","q̓ʷ","qw' qw’"
"12","ʔ","’ '"
"13","t̓ᶿ","tth' tth’ tth"
"14","c","c ts"
"15","c̓","c' ts’ ts'"
"16","č","ch"
"17","ƛ","tl' tl’"
"18","θ","th"
"19","s",""
"20","š","sh"
"21","ɬ","lh ł"
"22","x","h"
"23","xʷ","hw xw"
"24","x̌","x"
"25","x̌ʷ","xw"
"26","h",""
"27","m",""
"28","m̓",""
"29","n",""
"30","n̓","n' n’"
"31","l",""
"32","l̓","l' l’"
"33","y",""
"34","y̓","y' y’"
"35","w",""
"36","w̓","w' w’"
"37","i",""
"38","i:","ii"
"39","e",""
"40","e:","ee"
"41","u",""
"42","u:","uu oo"
"43","o:","uw o"
"44","a",""
"45","a:","aa"
"46","ə",""
