Confusable,Canonical Character
"a","a"
"a:","a:"
"a˸","a:"
"a꞉","a:"
"a：","a:"
"c","c"
"c'","c̓"
"cʼ","c̓"
"cˈ","c̓"
"c̒","c̓"
"c̓","c̓"
"c̔","c̓"
"c̕","c̓"
"c՚","c̓"
"c’","c̓"
"e","e"
"e:","e:"
"e˸","e:"
"e꞉","e:"
"e：","e:"
"h","h"
"i","i"
"i:","i:"
"i˸","i:"
"i꞉","i:"
"i：","i:"
"k","k"
"kʷ","kʷ"
"k'ʷ","k̓ʷ"
"kʼʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̒ʷ","k̓ʷ"
"k̓ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k՚ʷ","k̓ʷ"
"k’ʷ","k̓ʷ"
"l","l"
"l'","l̓"
"lʼ","l̓"
"lˈ","l̓"
"l̍","l̓"
"l̒","l̓"
"l̓","l̓"
"l̔","l̓"
"l̕","l̓"
"l՚","l̓"
"l’","l̓"
"ĺ","l̓"
"ľ","l̓"
"m","m"
"m̍","m̓"
"m̒","m̓"
"m̓","m̓"
"m̔","m̓"
"m̕","m̓"
"m’","m̓"
"ḿ","m̓"
"n","n"
"n̍","n̓"
"n̒","n̓"
"n̓","n̓"
"n̔","n̓"
"n̕","n̓"
"n’","n̓"
"ń","n̓"
"o:","o:"
"p","p"
"p̍","p̓"
"p̒","p̓"
"p̓","p̓"
"p̔","p̓"
"p̕","p̓"
"q","q"
"qʷ","qʷ"
"q́","q̓"
"q̍","q̓"
"q̒","q̓"
"q̓","q̓"
"q̔","q̓"
"q̕","q̓"
"q’","q̓"
"q́ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̓ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̕ʷ","q̓ʷ"
"s","s"
"t","t"
"t́","t̓"
"t̍","t̓"
"t̒","t̓"
"t̓","t̓"
"t̔","t̓"
"t̕","t̓"
"t’","t̓"
"t̍ᶿ","t̓ᶿ"
"t̒ᶿ","t̓ᶿ"
"t̓ᶿ","t̓ᶿ"
"t̔ᶿ","t̓ᶿ"
"t̕ᶿ","t̓ᶿ"
"u","u"
"u:","u:"
"u˸","u:"
"u꞉","u:"
"u：","u:"
"w","w"
"w̍","w̓"
"w̒","w̓"
"w̓","w̓"
"w̔","w̓"
"w̕","w̓"
"w’","w̓"
"ẃ","w̓"
"x","x"
"xʷ","xʷ"
"x̌","x̌"
"x̌ʷ","x̌ʷ"
"y","y"
"y̍","y̓"
"y̒","y̓"
"y̓","y̓"
"y̔","y̓"
"y̕","y̓"
"ý","y̓"
"č","č"
"š","š"
"ƛ","ƛ"
"λ̷","ƛ"
"λ̸","ƛ"
"ǝ","ə"
"ə","ə"
"l̵","ɬ"
"ɬ","ɬ"
"Ɂ","ʔ"
"ɂ","ʔ"
"ʔ","ʔ"
"ॽ","ʔ"
"Θ","θ"
"θ","θ"
"ϴ","θ"
