Confusable,Canonical Character
"s̠","s̲"
"s̱","s̲"
"u̱","u̲"
"u̠","u̲"
"ẕ","z̲"
"z̠","z̲"
"z_","z̲"
"ch＇","ch’"
"ch̕","ch’"
"chˈ","ch’"
"ch'","ch’"
"ch՚","ch’"
"chʼ","ch’"
"ch̒","ch’"
"ch̔","ch’"
"ch̓","ch’"
"t̔","t’"
"t̕","t’"
"t＇","t’"
"t'","t’"
"tˈ","t’"
"t՚","t’"
"tʼ","t’"
"t̒","t’"
"t̓","t’"
"kwʼ","kw’"
"kw̓","kw’"
"kw̒","kw’"
"kw̕","kw’"
"kw＇","kw’"
"kw̔","kw’"
"kw'","kw’"
"kwˈ","kw’"
"kw՚","kw’"
"tlˈ","tl’"
"tl՚","tl’"
"tlʼ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl＇","tl’"
"tl̔","tl’"
"tl'","tl’"
"t̠s̠","t̲s̲"
"ṯs̠","t̲s̲"
"t̠s̱","t̲s̲"
"ṯs̱","t̲s̲"
"kʼ","k’"
"k̓","k’"
"k̕","k’"
"k'","k’"
"k＇","k’"
"kˈ","k’"
"k՚","k’"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts'","ts’"
"ts՚","ts’"
"ts＇","ts’"
"tsʼ","ts’"
"̒","’"
"̓ ̕","’"
"̔","’"
"'","’"
"＇","’"
"ˈ","’"
"՚","’"
"ʼ","’"
"d̲z̠","d̲z̲"
"d̲z_","d̲z̲"
"d̲ẕ","d̲z̲"
"d̠z̠","d̲z̲"
"d_z_","d̲z̲"
"ḏẕ","d̲z̲"
"d̠ẕ","d̲z̲"
"d_ẕ","d̲z̲"
