pair,count
ts,26338
an,18542
lh,17715
in,17428
aa,16508
la,15640
al,14489
en,14408
wa,13433
na,13432
st,12723
kw,12534
̓a,12043
ii,11621
at,11589
a̱,11480
it,11075
as,10969
ha,10835
sa,10736
il,10605
'a,10600
ay,10325
si,10150
el,10078
is,10017
ma,9674
k̓,9667
ta,9547
ni,9503
da,9477
wi,9440
ak,9078
oo,9047
ya,8554
te,8379
ga,8284
un,8135
ut,8122
we,8038
et,7718
am,7574
ka,7551
x̱,7540
ax,7486
uu,7463
ul,7418
li,7344
ch,7249
hl,7228
di,7164
q̓,7139
s',7133
ne,7090
nt,6945
aw,6924
us,6908
̓i,6753
əm,6608
es,6558
ʔa,6553
g̱,6551
t̓,6515
le,6421
ik,6357
em,6295
se,6278
nu,6264
hu,6237
̱a,6208
xw,6199
'i,6093
xʷ,6093
sk,5990
ʔi,5840
uk,5833
ah,5803
ng,5747
ti,5701
a',5674
t',5642
ks,5615
x̌,5448
id,5447
aʔ,5437
hi,5408
mi,5261
kʷ,5254
gi,5150
im,5149
ag,5105
n̓,5100
aq,5045
on,4977
c̓,4957
'e,4944
he,4939
iy,4744
su,4728
əl,4713
ap,4711
ht,4671
th,4655
ba,4615
cw,4613
'u,4542
me,4510
yu,4466
ad,4455
̓ə,4443
qw,4433
m̓,4413
y̓,4343
um,4341
ən,4333
ʷa,4308
ih,4225
du,4206
sh,4200
ho,4064
ye,3982
nd,3921
qa,3909
lu,3881
tu,3870
ns,3864
̓u,3833
gu,3821
ee,3800
w̓,3791
k',3765
tl,3758
ke,3748
ot,3723
ła,3720
yi,3699
de,3698
lt,3623
̓e,3616
n.,3608
l̓,3604
gw,3559
gh,3555
p̓,3517
pa,3488
ki,3402
ac,3396
ll,3394
eh,3366
t.,3334
ʷə,3331
ek,3328
ud,3320
a.,3284
ál,3246
iʔ,3238
s.,3221
ar,3191
'o,3185
ed,3160
ux,3140
ał,3028
qʷ,3006
wh,2970
ai,2935
hk,2935
ig,2922
̓ʷ,2922
sg,2915
dz,2912
ol,2912
h.,2878
ix,2876
’u,2855
ił,2823
mu,2806
tk,2806
ex,2801
ic,2781
nk,2759
ra,2746
’a,2673
sq,2646
oh,2635
t’,2613
wu,2566
̓w,2559
wt,2538
tə,2509
w',2508
er,2506
bi,2503
l',2445
e',2442
ug,2442
ec,2411
os,2402
ʔu,2383
rr,2381
ws,2368
ey,2363
lo,2326
̱n,2321
’e,2301
to,2278
ʷi,2277
lk,2269
xa,2266
pe,2255
i',2225
s’,2221
ḵ',2214
ƛ̓,2203
iw,2195
ín,2188
pi,2187
-t,2159
sm,2159
t̕,2156
h',2148
s-,2139
’i,2128
uy,2116
eq,2111
bu,2098
ls,2089
él,2089
up,2067
i.,2062
s̲,2054
án,2054
ku,2051
ip,2047
tx,2045
sə,2044
əx,2040
uw,2032
"e,",2008
'n,2006
EL,2005
k’,1992
ca,1982
a7,1977
m-,1958
íl,1935
̱l,1918
̓t,1906
̓á,1900
sd,1892
ms,1879
sp,1857
wá,1857
iq,1846
ny,1842
xs,1840
no,1828
ʔə,1824
̱w,1822
én,1819
tn,1810
sx,1783
át,1778
re,1766
sc,1761
ge,1755
be,1753
ew,1744
lx,1744
"s,",1743
wé,1738
ab,1735
ít,1730
̓s,1727
sn,1724
əs,1724
s̓,1715
lg,1704
ok,1675
ja,1668
nl,1664
ce,1662
od,1642
ur,1628
̱x,1628
eg,1627
ci,1625
qu,1610
nh,1591
úl,1566
uq,1565
ri,1562
qe,1559
lc,1556
mo,1555
qs,1553
sl,1553
ck,1550
iƛ,1542
so,1541
ep,1537
a’,1530
lá,1518
EN,1514
há,1511
wí,1504
ət,1504
'w,1503
̱m,1501
ač,1494
aƛ,1483
eʔ,1472
nə,1458
Ts,1452
wl,1441
ét,1437
uʔ,1432
ld,1428
uh,1428
uc,1425
go,1421
gy,1420
ná,1416
ús,1415
iš,1414
za,1409
mt,1407
aḵ,1402
"n,",1399
sw,1392
ƛa,1381
o',1380
a-,1375
nc,1374
ém,1373
'y,1361
om,1359
-a,1357
út,1355
qi,1346
té,1346
'm,1335
W̱,1328
ɛt,1323
pu,1317
x̣,1314
nx,1306
kt,1298
ji,1296
tt,1285
"t,",1283
yo,1282
'l,1280
't,1277
ḵw,1274
uz,1272
̱',1269
xe,1258
ze,1253
ow,1252
's,1249
sí,1242
hé,1236
7a,1235
qə,1231
dl,1229
ez,1227
é,1212
e.,1205
ps,1200
do,1194
hd,1194
či,1192
̓m,1189
̓í,1174
̱s,1172
né,1169
zi,1158
l-,1155
oy,1149
LE,1148
-i,1145
hc,1145
ám,1142
-k,1139
dᶻ,1136
m.,1136
w-,1128
",s",1126
q',1123
t-,1118
̓l,1116
ox,1114
tg,1111
̓ú,1111
az,1110
əq,1110
ko,1109
ši,1107
tá,1106
h-,1105
nm,1098
yt,1097
mí,1094
n-,1093
gə,1091
lq,1082
pl,1065
áy,1063
io,1059
ás,1059
EṈ,1051
hs,1049
č̓,1048
ék,1043
n',1039
̕a,1039
mb,1038
ir,1031
sá,1031
hn,1030
ís,1030
lé,1027
-á,1025
-s,1020
tł,1020
hw,1017
ct,1011
̓q,1011
ká,1004
ák,999
ro,995
p',992
h’,991
pt,989
̓ᶿ,989
ȻE,985
ʔe,984
áw,982
kh,981
̱o,981
i-,979
e7,978
lm,975
̓k,973
",c",964
tm,963
má,957
TE,954
ea,954
ET,952
va,952
ı́,952
cl,949
’o,947
̓x,944
cu,940
w̕,926
xt,926
ək,925
ní,924
ub,921
uł,921
mx,920
or,919
u',919
dh,918
mə,915
"r,",914
yɛ,913
ju,908
lí,904
aḥ,902
ib,898
ík,897
xu,893
łi,890
̕i,890
áx,886
ʷu,881
-u,880
zu,879
á:,878
-g,877
'é,870
ɛn,869
í,865
xd,861
7e,860
čɛ,860
nq,859
w.,859
éy,859
tr,858
ič,857
á,852
ia,852
sú,850
