grapheme,count
a,217918
i,140631
s,131385
t,120910
n,113036
l,99776
e,99400
u,87216
h,83942
w,70190
k,68926
m,59131
',51129
o,48165
d,43288
y,39220
g,38368
.,33668
x,31256
c,30367
ə,29440
q,28431
ʔ,26646
p,25708
á,21903
ʷ,20483
’,18345
-,17991
",",16887
é,16859
r,16548
í,15153
ł,15092
b,13861
E,11500
a̱,11465
z,10574
ú,10358
k̓,9651
7,9135
ɛ,7608
x̱,7535
ḵ,7249
q̓,7130
S,6731
g̱,6539
ƛ,6508
t̓,6492
ʼ,6430
č,6398
T,6322
j,5995
N,5719
x̌,5445
v,5243
?,5214
n̓,5097
c̓,4954
š,4565
L,4484
m̓,4407
y̓,4338
:,4026
w̓,3789
ó,3756
l̓,3597
p̓,3504
ē,3191
ā,3124
ḥ,3065
ɬ,3042
K,2898
I,2832
ǧ,2405
),2252
ƛ̓,2197
χ,2186
t̕,2155
(,2146
M,2130
s̲,2051
ǂ,2040
D,2035
Á,1898
ɩ,1881
A,1874
O,1873
θ,1816
f,1775
s̓,1715
H,1707
!,1675
ı,1673
_,1624
ʕ,1592
¸,1569
W,1565
*,1546
ᶿ,1521
Ṉ,1511
G,1488
Ȼ,1473
à,1465
W̱,1328
‿,1327
x̣,1314
U,1250
C,1215
é,1210
X,1207
Ć,1179
ᶻ,1142
ì,1126
B,1092
č̓,1042
ë,1037
P,1005
Y,1001
ï,959
·,958
ä,955
Ḵ,954
ı́,952
è,948
ü,942
ẕ,929
w̕,926
Q,920
í,863
á,850
"""",786
ī,777
¢,774
ʊ,769
ɂ,748
ō,743
J,712
à,696
Ƚ,690
l̕,670
z̓,659
ú,658
t̲,657
ǫ,638
ˈ,629
ı̨,620
ą,610
ⱡ,590
ŝ,586
s̱,580
ǥ,573
0,569
k̕,568
ɫ,533
ò,529
h̕,528
ƛ̕,524
ù,516
Ś,512
‘,512
į,510
ḵ̓,505
ǰ,490
Ŧ,478
1,476
a̓,476
ḷ,459
ę,458
s̕,445
X̱,438
ṇ,438
[,433
],430
ᐦ,414
ū,380
ì,374
2,372
L̵,371
ä̀,371
/,369
c̕,354
5,352
G̱,350
ẑ,350
λ,345
z̲,342
Ḱ,342
=,332
ṃ,332
ṃ́,329
Ⱦ,328
ə̀,322
ṇ́,321
ù,315
3,305
h̓,305
ḵ,286
t́,280
Í,274
x̄,272
ṯ,265
Ṯ,257
ǫ́,252
ə́,243
ᐢ,242
ḷ́,238
°,229
ɨ,225
K̓,221
ë̀,216
ī́,215
ᐣ,215
i̓,214
i̱,214
u̓,211
′,211
T̸,210
ę́,205
¢̕,202
4,201
o̱̲,192
ḗ,190
o̱,184
Q̓,181
e̓,181
\,178
R,177
g̓,177
ı̨́,172
ᑲ,172
ų,171
d̲,170
Ł,169
ᑕ,169
ᑭ,168
o̲,165
₭,163
ḵ̕,159
ʦ,156
Ḱ,152
ᐊ,149
Z,148
T̓,147
6,146
ā́,144
ᓯ,141
‍,140
ᓂ,138
N̓,137
